Grand Prix,Driver,Car,Time,year
Italy,Mario Andretti,Lotus Ford,1:39.100,1977.0
USA East,Ronnie Peterson,Tyrrell Ford,1:51.854,1977.0
Canada,Mario Andretti,Lotus Ford,1:13.299,1977.0
Japan,Jody Scheckter,Wolf Ford,1:14.300,1977.0
Argentina,Gilles Villeneuve,Ferrari,1:49.760,1978.0
Brazil,Carlos Reutemann,Ferrari,1:43.070,1978.0
South Africa,Mario Andretti,Lotus Ford,1:17.090,1978.0
USA West,Alan  Jones,Williams Ford,1:22.215,1978.0
Monaco,Niki Lauda,Brabham Alfa Romeo,1:28.650,1978.0
Belgium,Ronnie Peterson,Lotus Ford,1:23.130,1978.0
Spain,Mario Andretti,Lotus Ford,1:20.060,1978.0
Sweden,Niki Lauda,Brabham Alfa Romeo,1:24.836,1978.0
France,Carlos Reutemann,Ferrari,1:48.560,1978.0
Great Britain,Niki Lauda,Brabham Alfa Romeo,1:18.600,1978.0
Germany,Ronnie Peterson,Lotus Ford,1:55.620,1978.0
Austria,Ronnie Peterson,Lotus Ford,1:43.120,1978.0
Netherlands,Niki Lauda,Brabham Alfa Romeo,1:19.570,1978.0
Italy,Mario Andretti,Lotus Ford,1:38.230,1978.0
USA East,Jean-Pierre Jarier,Lotus Ford,1:39.557,1978.0
Canada,Alan  Jones,Williams Ford,1:38.072,1978.0
Argentina,Jacques Laffite,Ligier Ford,1:46.910,1979.0
Brazil,Jacques Laffite,Ligier Ford,2:28.760,1979.0
South Africa,Gilles Villeneuve,Ferrari,1:14.412,1979.0
USA West,Gilles Villeneuve,Ferrari,1:21.200,1979.0
Spain,Gilles Villeneuve,Ferrari,1:16.440,1979.0
Belgium,Gilles Villeneuve,Ferrari,1:23.090,1979.0
Monaco,Patrick Depailler,Ligier Ford,1:28.820,1979.0
France,Rene Arnoux,Renault,1:09.160,1979.0
Great Britain,Clay Regazzoni,Williams Ford,1:14.400,1979.0
Germany,Gilles Villeneuve,Ferrari,1:51.890,1979.0
Austria,Rene Arnoux,Renault,1:35.770,1979.0
Netherlands,Gilles Villeneuve,Ferrari,1:19.438,1979.0
Italy,Clay Regazzoni,Williams Ford,1:35.600,1979.0
Canada,Alan  Jones,Williams Ford,1:31.272,1979.0
USA East,Nelson Piquet,Brabham Ford,1:40.054,1979.0
Argentina,Alan  Jones,Williams Ford,1:50.450,1980.0
